	Strain	Genus	Pi_mean	Pi_var	Pi_prob	W_theta_mean	T_D_mean	T_D_SD
0	ATCC13985	Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0
1	ATCC43928	Pseudomonas	0.73324949995919653	0.59633485666262698	9.6832361372042069e-07	0.52858298276030558	0.3160115315924813	1.0986931035643612
2	KBS0702	Arthrobacter	0.0	0.0	0.0	0.0	0.0	0.0
3	KBS0703	Arthrobacter	0.27626079965186989	0.10971172347798108	5.0822566664987035e-07	0.15409824172615683	0.73139144294394232	0.10849280168511875
4	KBS0707	Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0
5	KBS0710	Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0
6	KBS0711	Janthinobacterium	0.73576400499254524	0.41226449712576568	1.0514519335094107e-06	0.33733552438136943	1.6196894363479026	0.80026310694567704
7	KBS0712	Variovorax	0.36778598114322758	0.16441878969588541	4.5144396522745832e-07	0.12883043259211213	1.4190000027227678	0.82114773931692975
8	KBS0713	Yersinia	0.3275746150777315	0.14699734846220494	7.2473061666109473e-07	0.18016404111967546	0.87426393654118606	1.3748315360292933
9	KBS0715	Curtobacterium	0.12165745139721491	0.054653780525835853	2.4805624995609057e-07	0.047011978218914258	0.44278105231944553	0.76691927924609293
10	KBS0721	Flavobacterium	0.0	0.0	0.0	0.0	0.0	0.0
11	KBS0722	Oerskovia	0.12096885302180486	0.054200194731550896	2.1106078025673146e-07	0.046352438087969731	0.44252235472973878	0.76647120187692519
12	KBS0724	Rhodococcus	0.18378537322134264	0.077106805795810196	2.2657077105696976e-07	0.082972311668236765	0.5997579277474181	0.62231981728411878
13	KBS0727	Bradyrhizobium	1.4835189858136655	0.99085546602538166	1.9189721449444628e-06	0.48476874038783074	3.1574498395805928	0.051597387585479576
14	KBS0801	Burkholderia	0.28016996393465887	0.11160006378849296	3.1381184944226773e-07	0.13505659990885144	0.88516286323390203	0.29650527164215751
15	KBS0802	Pseudomonas	1.6179775874131139	1.142443220192604	2.2124676431192589e-06	0.58551983547727027	2.9664310931723223	0.49947894255491776
16	KBS0812	Bacillus	3.8775631999676263	4.7437875118909325	7.2142321316338713e-06	2.0288184276030932	2.1086204505609913	0.32770188237852121
