Time	Temp_C	blank_water_1	L0S4-100_1	L0S1-100_2	L0S5-100_2	L0S1-100_3	L0S5-100_3	L0S1-100_1	L0S5-100_1	L0S2-100_2	L1S3-100_2	L0S2-100_3	L1S3-100_3	L0S2-100_1	L1S3-100_1	L0S3-100_2	L1S4-100_2	L0S3-100_3	L1S4-100_3	L0S3-100_1	L1S4-100_1	L0S4-100_2	blank_media_1	L0S4-100_3	blank_water_2
0:00:00	24.9	0.036	0.049	0.047	0.055	0.048	0.045	0.044	0.043	0.045	0.041	0.042	0.042	0.043	0.042	0.048	0.042	0.045	0.040	0.042	0.041	0.047	0.034	0.045	0.037
0:15:24	25.2	0.036	0.049	0.045	0.046	0.048	0.047	0.045	0.045	0.047	0.042	0.045	0.042	0.044	0.040	0.048	0.042	0.047	0.041	0.044	0.041	0.048	0.034	0.047	0.036
0:30:49	25.3	0.036	0.049	0.045	0.046	0.048	0.047	0.045	0.045	0.047	0.042	0.045	0.042	0.044	0.042	0.048	0.043	0.046	0.042	0.043	0.042	0.048	0.034	0.047	0.036
0:46:13	25.3	0.036	0.050	0.046	0.046	0.048	0.047	0.046	0.046	0.047	0.042	0.045	0.042	0.045	0.041	0.048	0.043	0.046	0.042	0.044	0.043	0.049	0.035	0.047	0.036
1:01:38	25.3	0.036	0.050	0.047	0.047	0.049	0.048	0.046	0.046	0.047	0.042	0.045	0.042	0.045	0.041	0.048	0.043	0.047	0.042	0.044	0.042	0.050	0.035	0.048	0.036
1:17:03	25.4	0.036	0.051	0.047	0.047	0.049	0.048	0.046	0.047	0.047	0.043	0.045	0.042	0.044	0.040	0.049	0.043	0.047	0.043	0.044	0.042	0.050	0.035	0.048	0.036
1:32:27	25.4	0.036	0.052	0.048	0.048	0.050	0.049	0.047	0.047	0.048	0.043	0.046	0.041	0.045	0.040	0.049	0.043	0.047	0.043	0.044	0.042	0.051	0.034	0.049	0.036
1:47:52	25.3	0.036	0.053	0.049	0.049	0.051	0.050	0.048	0.048	0.048	0.042	0.047	0.042	0.046	0.041	0.050	0.044	0.048	0.044	0.045	0.043	0.051	0.035	0.050	0.036
2:03:17	25.3	0.036	0.055	0.050	0.050	0.052	0.051	0.049	0.049	0.049	0.043	0.048	0.042	0.046	0.040	0.051	0.044	0.049	0.044	0.045	0.043	0.053	0.035	0.051	0.036
2:18:41	25.3	0.036	0.056	0.052	0.051	0.054	0.052	0.050	0.049	0.050	0.042	0.049	0.042	0.047	0.041	0.052	0.044	0.050	0.045	0.046	0.044	0.054	0.035	0.052	0.036
2:34:06	25.3	0.036	0.059	0.054	0.052	0.056	0.054	0.051	0.051	0.051	0.042	0.050	0.043	0.048	0.041	0.054	0.045	0.052	0.046	0.047	0.044	0.056	0.035	0.054	0.036
2:49:30	25.3	0.036	0.061	0.056	0.054	0.058	0.056	0.053	0.052	0.052	0.042	0.051	0.042	0.049	0.043	0.056	0.047	0.055	0.047	0.049	0.045	0.058	0.034	0.056	0.035
3:04:55	25.3	0.036	0.064	0.059	0.056	0.062	0.058	0.056	0.054	0.054	0.043	0.053	0.042	0.050	0.040	0.058	0.047	0.057	0.048	0.051	0.046	0.061	0.035	0.058	0.036
3:20:20	25.3	0.036	0.067	0.063	0.059	0.065	0.060	0.058	0.057	0.057	0.043	0.056	0.042	0.052	0.044	0.060	0.048	0.058	0.050	0.052	0.047	0.064	0.035	0.061	0.036
3:35:44	25.3	0.036	0.071	0.068	0.062	0.070	0.065	0.061	0.059	0.060	0.043	0.059	0.042	0.054	0.042	0.063	0.050	0.061	0.053	0.054	0.049	0.067	0.035	0.065	0.036
3:51:09	25.3	0.036	0.075	0.073	0.066	0.075	0.069	0.066	0.063	0.063	0.043	0.063	0.041	0.056	0.047	0.067	0.051	0.066	0.054	0.057	0.050	0.072	0.035	0.069	0.036
4:06:33	25.3	0.036	0.080	0.079	0.071	0.082	0.074	0.071	0.068	0.068	0.045	0.067	0.043	0.059	0.048	0.071	0.053	0.070	0.057	0.061	0.052	0.077	0.035	0.074	0.036
4:21:58	25.3	0.036	0.086	0.086	0.076	0.090	0.082	0.077	0.074	0.073	0.043	0.072	0.043	0.062	0.048	0.076	0.057	0.077	0.076	0.066	0.055	0.082	0.035	0.079	0.036
4:37:23	25.2	0.036	0.093	0.095	0.084	0.099	0.090	0.086	0.081	0.079	0.043	0.078	0.042	0.065	0.049	0.083	0.062	0.084	0.076	0.070	0.061	0.089	0.035	0.086	0.036
4:52:48	25.3	0.035	0.102	0.102	0.092	0.107	0.098	0.095	0.088	0.085	0.043	0.086	0.044	0.070	0.047	0.090	0.064	0.093	0.070	0.078	0.061	0.096	0.035	0.093	0.036
5:08:12	25.3	0.035	0.106	0.111	0.100	0.116	0.105	0.102	0.097	0.092	0.043	0.094	0.043	0.075	0.045	0.097	0.068	0.102	0.085	0.084	0.067	0.101	0.035	0.098	0.036
5:23:37	25.3	0.035	0.118	0.122	0.107	0.130	0.114	0.111	0.104	0.100	0.045	0.100	0.044	0.081	0.047	0.101	0.074	0.109	0.085	0.092	0.072	0.108	0.035	0.104	0.035
5:39:02	25.2	0.035	0.129	0.134	0.117	0.142	0.123	0.122	0.115	0.112	0.044	0.112	0.044	0.086	0.043	0.112	0.083	0.122	0.095	0.099	0.081	0.118	0.035	0.114	0.036
5:54:26	25.3	0.035	0.142	0.147	0.128	0.155	0.134	0.134	0.122	0.122	0.045	0.124	0.048	0.093	0.044	0.122	0.092	0.133	0.105	0.109	0.087	0.127	0.035	0.123	0.036
6:09:51	25.2	0.035	0.154	0.162	0.140	0.170	0.146	0.148	0.134	0.132	0.046	0.135	0.044	0.102	0.048	0.132	0.103	0.145	0.116	0.121	0.097	0.138	0.035	0.133	0.036
6:25:15	25.3	0.035	0.170	0.175	0.150	0.185	0.160	0.164	0.146	0.143	0.046	0.148	0.071	0.111	0.044	0.143	0.107	0.157	0.131	0.132	0.105	0.147	0.035	0.144	0.036
6:40:40	25.3	0.035	0.181	0.187	0.165	0.196	0.170	0.176	0.157	0.156	0.046	0.165	0.045	0.118	0.046	0.152	0.118	0.167	0.149	0.144	0.117	0.157	0.035	0.153	0.036
6:56:05	25.3	0.035	0.192	0.198	0.178	0.209	0.183	0.186	0.170	0.170	0.046	0.181	0.049	0.128	0.045	0.163	0.134	0.177	0.162	0.153	0.129	0.167	0.035	0.161	0.036
7:11:29	25.3	0.035	0.203	0.209	0.188	0.220	0.190	0.197	0.177	0.184	0.047	0.193	0.046	0.140	0.045	0.172	0.148	0.188	0.176	0.165	0.140	0.175	0.035	0.170	0.036
7:26:54	25.3	0.035	0.213	0.222	0.200	0.233	0.202	0.205	0.188	0.196	0.051	0.207	0.048	0.151	0.046	0.181	0.162	0.195	0.190	0.172	0.155	0.186	0.035	0.178	0.036
7:42:19	25.4	0.035	0.223	0.236	0.212	0.245	0.215	0.215	0.198	0.210	0.048	0.221	0.049	0.161	0.046	0.191	0.179	0.205	0.197	0.182	0.170	0.197	0.035	0.187	0.036
7:57:43	25.4	0.035	0.230	0.253	0.226	0.262	0.226	0.228	0.209	0.228	0.053	0.239	0.050	0.173	0.050	0.202	0.190	0.213	0.207	0.191	0.180	0.209	0.035	0.195	0.036
8:13:08	25.4	0.035	0.240	0.270	0.240	0.278	0.241	0.243	0.218	0.247	0.054	0.258	0.056	0.184	0.048	0.212	0.202	0.222	0.220	0.199	0.193	0.223	0.035	0.204	0.036
8:28:33	25.4	0.035	0.252	0.290	0.255	0.301	0.255	0.262	0.233	0.267	0.069	0.278	0.056	0.201	0.051	0.228	0.212	0.237	0.229	0.211	0.215	0.235	0.035	0.213	0.036
8:43:57	25.4	0.035	0.266	0.315	0.274	0.323	0.275	0.279	0.252	0.289	0.096	0.300	0.058	0.217	0.056	0.243	0.223	0.249	0.244	0.224	0.214	0.253	0.035	0.225	0.036
8:59:22	25.4	0.035	0.280	0.339	0.294	0.344	0.294	0.300	0.268	0.313	0.061	0.322	0.061	0.235	0.057	0.258	0.230	0.267	0.261	0.235	0.226	0.273	0.035	0.240	0.036
9:14:47	25.4	0.035	0.298	0.363	0.313	0.364	0.316	0.322	0.291	0.337	0.070	0.345	0.070	0.254	0.067	0.276	0.242	0.296	0.276	0.250	0.239	0.301	0.035	0.259	0.036
9:30:11	25.4	0.035	0.320	0.387	0.337	0.382	0.337	0.341	0.314	0.362	0.075	0.370	0.083	0.274	0.062	0.307	0.257	0.320	0.298	0.265	0.256	0.325	0.035	0.281	0.036
9:45:36	25.3	0.035	0.338	0.407	0.362	0.399	0.362	0.361	0.340	0.390	0.078	0.393	0.079	0.294	0.072	0.333	0.269	0.346	0.320	0.281	0.275	0.351	0.035	0.306	0.036
10:01:01	25.3	0.035	0.361	0.428	0.379	0.419	0.387	0.385	0.366	0.420	0.091	0.416	0.082	0.316	0.071	0.358	0.291	0.372	0.356	0.312	0.297	0.377	0.035	0.330	0.036
10:16:25	25.3	0.035	0.387	0.445	0.405	0.436	0.407	0.404	0.398	0.438	0.092	0.434	0.090	0.336	0.077	0.384	0.310	0.401	0.371	0.339	0.310	0.404	0.035	0.357	0.036
10:31:50	25.3	0.035	0.411	0.458	0.415	0.444	0.427	0.423	0.420	0.454	0.109	0.455	0.103	0.359	0.084	0.409	0.343	0.424	0.387	0.366	0.328	0.430	0.035	0.385	0.036
10:47:15	25.3	0.035	0.433	0.473	0.430	0.463	0.443	0.448	0.443	0.479	0.110	0.486	0.104	0.375	0.091	0.432	0.355	0.444	0.413	0.393	0.367	0.450	0.035	0.409	0.036
11:02:39	25.3	0.035	0.442	0.492	0.444	0.490	0.457	0.458	0.464	0.498	0.119	0.505	0.112	0.393	0.089	0.445	0.369	0.456	0.435	0.420	0.374	0.457	0.035	0.430	0.036
11:18:04	25.3	0.035	0.452	0.514	0.459	0.514	0.476	0.468	0.484	0.515	0.128	0.523	0.124	0.415	0.127	0.458	0.408	0.468	0.452	0.440	0.395	0.473	0.035	0.438	0.037
11:33:28	25.2	0.035	0.472	0.534	0.475	0.526	0.490	0.474	0.502	0.530	0.132	0.542	0.136	0.435	0.125	0.471	0.445	0.486	0.466	0.452	0.420	0.483	0.035	0.453	0.037
11:48:53	25.2	0.035	0.501	0.549	0.497	0.567	0.516	0.492	0.519	0.548	0.163	0.561	0.145	0.448	0.128	0.489	0.438	0.508	0.486	0.460	0.441	0.508	0.035	0.477	0.037
12:04:17	25.2	0.035	0.525	0.564	0.516	0.581	0.537	0.510	0.543	0.568	0.168	0.579	0.164	0.475	0.146	0.511	0.451	0.526	0.491	0.483	0.460	0.531	0.035	0.505	0.036
12:19:42	25.2	0.035	0.550	0.580	0.534	0.605	0.557	0.525	0.560	0.583	0.169	0.594	0.167	0.490	0.183	0.535	0.448	0.547	0.509	0.503	0.469	0.556	0.035	0.533	0.037
12:35:07	25.2	0.035	0.569	0.586	0.551	0.610	0.574	0.547	0.578	0.600	0.207	0.612	0.202	0.503	0.185	0.554	0.479	0.565	0.515	0.523	0.488	0.579	0.035	0.557	0.037
12:50:31	25.2	0.035	0.581	0.601	0.567	0.617	0.591	0.558	0.594	0.621	0.240	0.632	0.189	0.522	0.173	0.573	0.486	0.582	0.557	0.545	0.487	0.593	0.035	0.575	0.037
13:05:56	25.2	0.035	0.593	0.601	0.582	0.616	0.609	0.574	0.603	0.639	0.251	0.644	0.221	0.539	0.207	0.591	0.499	0.595	0.546	0.566	0.500	0.611	0.035	0.590	0.037
13:21:21	25.2	0.035	0.597	0.601	0.591	0.617	0.610	0.580	0.611	0.642	0.214	0.651	0.194	0.556	0.236	0.603	0.545	0.610	0.536	0.581	0.516	0.614	0.035	0.595	0.037
13:36:45	25.2	0.035	0.605	0.603	0.593	0.616	0.617	0.576	0.620	0.647	0.263	0.654	0.230	0.576	0.265	0.618	0.506	0.621	0.532	0.605	0.515	0.626	0.035	0.602	0.037
13:52:10	25.2	0.035	0.611	0.608	0.598	0.621	0.623	0.570	0.617	0.650	0.305	0.656	0.221	0.594	0.281	0.626	0.503	0.625	0.528	0.619	0.521	0.635	0.035	0.614	0.037
14:07:35	25.2	0.035	0.614	0.610	0.601	0.623	0.626	0.562	0.626	0.653	0.297	0.657	0.235	0.601	0.268	0.632	0.495	0.631	0.518	0.634	0.524	0.640	0.035	0.619	0.037
14:22:59	25.1	0.035	0.614	0.614	0.603	0.626	0.631	0.571	0.625	0.656	0.248	0.658	0.348	0.606	0.219	0.636	0.537	0.638	0.511	0.641	0.518	0.644	0.035	0.626	0.037
14:38:24	25.1	0.035	0.617	0.619	0.607	0.628	0.632	0.574	0.626	0.655	0.246	0.658	0.225	0.612	0.261	0.642	0.485	0.644	0.517	0.646	0.522	0.650	0.035	0.630	0.037
14:53:49	25.1	0.036	0.621	0.620	0.612	0.632	0.640	0.575	0.629	0.656	0.260	0.659	0.242	0.613	0.256	0.647	0.489	0.647	0.516	0.650	0.508	0.654	0.035	0.632	0.037
15:09:13	25.1	0.035	0.625	0.624	0.615	0.636	0.648	0.576	0.630	0.661	0.281	0.661	0.252	0.618	0.261	0.651	0.489	0.653	0.509	0.655	0.510	0.659	0.035	0.637	0.037
15:24:38	25.1	0.035	0.628	0.626	0.622	0.638	0.649	0.581	0.637	0.661	0.271	0.662	0.253	0.620	0.291	0.656	0.484	0.656	0.500	0.663	0.504	0.664	0.035	0.643	0.037
15:40:03	25.2	0.035	0.633	0.632	0.628	0.643	0.653	0.581	0.644	0.663	0.289	0.664	0.253	0.623	0.320	0.659	0.484	0.661	0.500	0.668	0.508	0.670	0.035	0.648	0.037
15:55:27	25.2	0.036	0.637	0.634	0.632	0.647	0.661	0.583	0.646	0.663	0.255	0.665	0.351	0.624	0.317	0.664	0.476	0.665	0.490	0.665	0.504	0.674	0.035	0.653	0.037
16:10:52	25.2	0.036	0.642	0.634	0.638	0.646	0.667	0.590	0.645	0.668	0.303	0.667	0.259	0.624	0.343	0.669	0.465	0.669	0.491	0.673	0.507	0.679	0.035	0.656	0.038
16:26:17	25.2	0.036	0.648	0.638	0.642	0.648	0.669	0.591	0.650	0.677	0.338	0.669	0.299	0.628	0.315	0.673	0.487	0.674	0.484	0.678	0.499	0.683	0.035	0.661	0.037
16:41:42	25.2	0.035	0.650	0.635	0.647	0.649	0.680	0.589	0.655	0.671	0.325	0.668	0.317	0.633	0.325	0.674	0.477	0.677	0.483	0.684	0.499	0.689	0.035	0.667	0.038
16:57:06	25.2	0.036	0.655	0.643	0.653	0.652	0.680	0.589	0.660	0.677	0.359	0.672	0.388	0.635	0.346	0.679	0.476	0.680	0.486	0.685	0.492	0.693	0.035	0.670	0.037
17:12:31	25.2	0.036	0.658	0.641	0.657	0.652	0.685	0.594	0.666	0.678	0.329	0.673	0.317	0.631	0.382	0.682	0.453	0.682	0.478	0.688	0.495	0.699	0.035	0.676	0.038
17:27:56	25.2	0.036	0.661	0.646	0.660	0.655	0.690	0.597	0.667	0.680	0.313	0.674	0.374	0.636	0.373	0.685	0.454	0.685	0.474	0.689	0.488	0.704	0.035	0.679	0.038
17:43:21	25.3	0.036	0.663	0.645	0.664	0.657	0.696	0.599	0.678	0.683	0.307	0.677	0.395	0.641	0.396	0.688	0.446	0.689	0.468	0.691	0.487	0.707	0.035	0.683	0.037
